make,year,fuel,hp,cylinders,transmission,drive ,doors,type,style,hwympg,citympg,mc_performance,mc_high_performance,mc_crossover,mc_exotic,mc_luxury,mc_flex_fuel,mc_hybrid,mc_tuned,msrp
BMW,2011,premium unleaded ,335,6,MANUAL,rear wheel drive,2,Compact,Coupe,26,19,1,1,0,0,1,0,0,1,46135
BMW,2011,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Compact,Convertible,28,19,1,0,0,0,1,0,0,0,40650
BMW,2011,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,20,1,1,0,0,1,0,0,0,36350
BMW,2011,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,18,1,0,0,0,1,0,0,0,29450
BMW,2011,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Compact,Convertible,28,18,0,0,0,0,1,0,0,0,34500
BMW,2012,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,18,1,0,0,0,1,0,0,0,31200
BMW,2012,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Compact,Convertible,26,17,1,0,0,0,1,0,0,0,44100
BMW,2012,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,20,1,1,0,0,1,0,0,0,39300
BMW,2012,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Compact,Convertible,28,18,0,0,0,0,1,0,0,0,36900
BMW,2013,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Compact,Convertible,27,18,0,0,0,0,1,0,0,0,37200
BMW,2013,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,20,1,1,0,0,1,0,0,0,39600
BMW,2013,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,19,1,0,0,0,1,0,0,0,31500
BMW,2013,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Compact,Convertible,28,19,1,0,0,0,1,0,0,0,44400
