origin_country,year,fuel,hp,cylinders,transmission,drive,doors,style,mc_performance,mc_high_performance,mc_crossover,mc_luxury,mc_flex_fuel,mc_hybrid,mc_tuned,msrp,avgmpg
German,2011,premium unleaded ,335,6,MANUAL,rear wheel drive,2,Car,1,1,0,1,0,0,1,46135,22.5
German,2011,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Car,1,0,0,1,0,0,0,40650,23.5
German,2011,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Car,1,1,0,1,0,0,0,36350,24
German,2011,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Car,1,0,0,1,0,0,0,29450,23
German,2011,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Car,0,0,0,1,0,0,0,34500,23
German,2012,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Car,1,0,0,1,0,0,0,31200,23
German,2012,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Car,1,0,0,1,0,0,0,44100,21.5
German,2012,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Car,1,1,0,1,0,0,0,39300,24
German,2012,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Car,0,0,0,1,0,0,0,36900,23
German,2013,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Car,0,0,0,1,0,0,0,37200,22.5
German,2013,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Car,1,1,0,1,0,0,0,39600,24
German,2013,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Car,1,0,0,1,0,0,0,31500,23.5
German,2013,premium unleaded ,300,6,MANUAL,rear wheel drive,2,Car,1,0,0,1,0,0,0,44400,23.5
German,2013,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Car,0,0,0,1,0,0,0,37200,23.5
German,2013,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Car,1,0,0,1,0,0,0,31500,23.5
German,2013,premium unleaded ,320,6,MANUAL,rear wheel drive,2,Car,1,1,0,1,0,0,0,48250,21.5
German,2013,premium unleaded ,320,6,MANUAL,rear wheel drive,2,Car,1,1,0,1,0,0,0,43550,24
Italian,2017,premium unleaded ,160,4,MANUAL,rear wheel drive,2,Car,1,0,0,0,0,0,0,27495,30.5
Italian,2017,premium unleaded ,160,4,MANUAL,rear wheel drive,2,Car,1,0,0,0,0,0,0,24995,30.5
Italian,2017,premium unleaded ,160,4,MANUAL,rear wheel drive,2,Car,1,0,0,0,0,0,0,28195,30.5
German,2016,premium unleaded ,240,4,AUTOMATIC,rear wheel drive,2,Car,1,0,0,1,0,0,0,32850,29
German,2016,premium unleaded ,240,4,AUTOMATIC,rear wheel drive,2,Car,0,0,0,1,0,0,0,38650,28.5
